Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
291961,Jock of the Bushveld,J. Percy FitzPatrick,"FitzPatrick, J. Percy",,"=""0868520586""","=""9780868520582""",3,4.08,Jonathan Ball Publishers (Pty) Ltd,Paperback,280,2002,1907,2023/04/30,2023/04/28,,,read,Solo voy a decir una cosa: hasta el coño/<br/>Vale ahora comento desde un punto de vista menos hasta el coño:<br/>Es cuqui pero supongo que tiene tantas alusiones por Cape Town que yo desde afuera no entiendo una mierda. Tienes que buscar muchas referencias de quien fue Rhodes que es noseke para cogerle un poco el hilo. Pero me gusta que tiene un perrito y creo que en otro momento me hubiese gustado mas,,,1,0
54633172,The Promise,Damon Galgut,"Galgut, Damon",,"=""1784744069""","=""9781784744069""",3,3.86,Chatto & Windus,Hardcover,293,2021,2021,2023/04/27,2023/02/07,,,read,,,,1,0
158674,Nervous Conditions,Tsitsi Dangarembga,"Dangarembga, Tsitsi",,"=""1580051340""","=""9781580051347""",3,4.04,Seal Pr,Paperback,204,2004,1988,2023/04/27,2023/04/19,,,read,,,,1,0
371397,A Question of Power,Bessie Head,"Head, Bessie",,"=""0435907204""","=""9780435907204""",4,3.69,Longman,Paperback,206,2009,1973,2023/04/27,2023/04/19,,,read,Mi fav además me gustó mucho la historia de la escritora,,,1,0
210722,The Joys of Motherhood,Buchi Emecheta,"Emecheta, Buchi",,"=""043590972X""","=""9780435909727""",4,4.20,Longman,Paperback,224,1994,1979,2023/04/23,2023/04/07,,,read,Me gustaría releerlo en otro momento<br/>No me puedo concentrar en tantas novelas a la vez,,,2,0
69711,A Small Place,Jamaica Kincaid,"Kincaid, Jamaica",,"=""0374527075""","=""9780374527075""",5,4.05,"Farrar, Straus and Giroux",Paperback,81,2000,1988,2023/04/23,2023/03/14,,,read,Sin palabras es como una bomba de crítica al colonialismo y neo colonialismo. tiene mil metáforas y me encanta,,,2,0
49744485,The Burnout Generation,Anne Helen Petersen,"Petersen, Anne Helen",,"=""""","=""""",2,3.18,Audible Original ,Audible Audio,,2019,2019,2023/04/23,2023/04/23,,,read,El principio dije si soy un walking to do list<br/>Pero los ejemplos son bastante americanos creo student debt y esas cosillas y en cierto modo me hizo sentir más angustiada<br/>Pero recomiendo el principio,,,1,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.33,Laurel,Paperback,178,1988,1956,,2023/04/21,to-read,to-read (#31),to-read,,,,0,0
8129,L.M. Montgomery's Anne of Green Gables,Jennifer Dussling,"Dussling, Jennifer","L.M. Montgomery, Lydia Halverson","=""0448424592""","=""9780448424590""",5,4.57,Grosset & Dunlap,Paperback,48,2001,2001,,2023/04/19,,,read,,,,1,0
85766,Epistemology of the Closet,Eve Kosofsky Sedgwick,"Sedgwick, Eve Kosofsky",,"=""0520078748""","=""9780520078741""",5,4.11,University of California Press,Paperback,258,1990,1990,,2023/04/19,,,read,No hay desperdicio<br/>debería de ser mandatory reading y no tanto Shakespeare y Sr Gawain y,,,1,0
427379,Between Men: English Literature and Male Homosocial Desire (Gender and Culture),Eve Kosofsky Sedgwick,"Sedgwick, Eve Kosofsky","Nancy K. Miller, Carolyn G. Heilbrun","=""0231082738""","=""9780231082730""",5,4.07,Columbia University Press,Paperback,244,1985,1985,,2023/04/19,,,read,Si pudiese ponerle más me quedaba sin estrella en el cielo pa darle<br/>la reina de mis sentraña<br/>la reina de mis teorías<br/>te pongo una estatua en medio caí,,,1,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,4.14,Anchor Books,Paperback,311,1998,1985,,2023/04/19,,,read,,,,1,0
40265834,"The Source of Self-Regard: Selected Essays, Speeches, and Meditations",Toni Morrison,"Morrison, Toni",,"=""0525521038""","=""9780525521037""",0,4.30,Knopf,Hardcover,354,2019,2019,,2023/04/19,to-read,to-read (#30),to-read,,,,0,0
41940073,Rape: From Lucretia to #MeToo,Mithu M. Sanyal,"Sanyal, Mithu M.",,"=""1786637502""","=""9781786637505""",0,4.36,Verso,Hardcover,256,2019,2016,,2023/04/19,to-read,to-read (#29),to-read,,,,0,0
40365093,Thick: And Other Essays,Tressie McMillan Cottom,"Cottom, Tressie McMillan",,"=""1620974363""","=""9781620974360""",0,4.44,The New Press,Hardcover,244,2019,2019,,2023/04/19,to-read,to-read (#28),to-read,,,,0,0
43427042,The Seven Necessary Sins for Women and Girls,Mona Eltahawy,"Eltahawy, Mona",,"=""0807013811""","=""9780807013816""",0,4.21,Beacon Press,Hardcover,216,2019,2019,,2023/04/19,to-read,to-read (#27),to-read,,,,0,0
38362811,The Witches Are Coming,Lindy West,"West, Lindy",,"=""0316449881""","=""9780316449885""",0,4.12,Hachette Books,Hardcover,260,2019,2019,,2023/04/19,to-read,to-read (#26),to-read,,,,0,0
39663252,How to Date Men When You Hate Men,Blythe Roberson,"Roberson, Blythe",,"=""1250319161""","=""9781250319166""",0,3.20,Macmillan Audio,Audio CD,,2019,2019,,2023/04/19,to-read,to-read (#25),to-read,,,,0,0
60314250,Venus in Two Acts,Saidiya Hartman,"Hartman, Saidiya",,"=""""","=""""",4,4.77,Duke University Press,ebook,14,2008,,,2022/11/23,,,read,,,,1,0
36479356,American Sonnets for My Past and Future Assassin,Terrance Hayes,"Hayes, Terrance",,"=""0143133187""","=""9780143133186""",4,4.27,Penguin Books Ltd,Paperback,91,2018,2018,2023/04/11,2023/04/11,,,read,Soneto con estructura old English (Beowulf)<br/>Muy compacto de información y todas las palabras tienen un deeper meaning.<br/>Diria que te permite sentir lo que es ser negro en América a primera vista no tanto por el meaning (porque cuesta analizarlo) pero por el sentimiento de angustia,,,1,0
240009,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,"Equiano, Olaudah",Robert J. Allison,"=""0312442033""","=""9780312442033""",3,3.74,Bedford/St. Martin's,Paperback,256,2006,1789,,2023/04/07,,,read,Me parece un narrador bastante unreliable. Y además la correlación entre esta novela y Oroonoko.<br/>Olaudah Oroonoko y Okonkwo<br/>Hay mucho paralelismo entre esas novelas y me da alegrías,,,1,0
41820541,"El príncipe cruel (Los habitantes del aire, #1)",Holly Black,"Black, Holly",Jaime Valero,"=""8417390618""","=""9788417390617""",0,4.03,Hidra,Paperback,464,2018,2018,,2023/03/24,to-read,to-read (#24),to-read,,,,0,0
